,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
830,B14,3,9/14/2018 12:12,9/14/2018,12:12:26,Deer - Doe,9,9/14/2018 12:12
831,C17,3,9/14/2018 9:39,9/14/2018,9:39:55,Deer - Doe,9,9/14/2018 9:39
832,B14,3,9/15/2018 3:20,9/15/2018,3:20:22,Deer - Doe,9,9/15/2018 3:20
833,B14,3,9/15/2018 21:06,9/15/2018,21:06:05,Deer - Doe,9,9/15/2018 21:06
834,D14,4,9/15/2018 5:28,9/15/2018,5:28:25,Deer - Doe,9,9/15/2018 5:28
835,E15,4,9/15/2018 21:59,9/15/2018,21:59:45,Deer - Doe,9,9/15/2018 21:59
836,B14,5,9/16/2018 21:14,9/16/2018,21:14:26,Deer - Buck,9,9/16/2018 21:14
837,B14,2,9/16/2018 12:19,9/16/2018,12:19:59,Deer - Doe,9,9/16/2018 12:19
838,B14,2,9/16/2018 12:36,9/16/2018,12:36:43,Deer - Doe,9,9/16/2018 12:36
839,B14,3,9/16/2018 12:37,9/16/2018,12:37:02,Deer - Doe,9,9/16/2018 12:37
840,B14,4,9/16/2018 3:19,9/16/2018,3:19:15,Deer - Doe,9,9/16/2018 3:19
841,C17,3,9/16/2018 7:55,9/16/2018,7:55:56,Deer - Doe,9,9/16/2018 7:55
842,D16,3,9/16/2018 1:00,9/16/2018,1:00:05,Deer - Doe,9,9/16/2018 1:00
843,D16,4,9/16/2018 6:03,9/16/2018,6:03:04,Deer - Doe,9,9/16/2018 6:03
844,B12,4,9/17/2018 23:45,9/17/2018,23:45:54,Deer - Doe,9,9/17/2018 23:45
845,B14,4,9/18/2018 20:53,9/18/2018,20:53:55,Deer - Buck,9,9/18/2018 20:53
846,B14,5,9/18/2018 1:41,9/18/2018,1:41:37,Deer - Buck,9,9/18/2018 1:41
847,B14,3,9/18/2018 9:16,9/18/2018,9:16:36,Deer - Doe,9,9/18/2018 9:16
848,B14,3,9/18/2018 19:22,9/18/2018,19:22:41,Deer - Doe,9,9/18/2018 19:22
849,B14,3,9/18/2018 22:22,9/18/2018,22:22:40,Deer - Doe,9,9/18/2018 22:22
850,C17,3,9/18/2018 20:51,9/18/2018,20:51:14,Deer - Doe,9,9/18/2018 20:51
851,D14,3,9/18/2018 20:37,9/18/2018,20:37:17,Deer - Doe,9,9/18/2018 20:37
852,B14,3,9/19/2018 1:20,9/19/2018,1:20:46,Deer - Doe,9,9/19/2018 1:20
853,B14,3,9/19/2018 3:26,9/19/2018,3:26:48,Deer - Doe,9,9/19/2018 3:26
854,B14,3,9/19/2018 20:43,9/19/2018,20:43:12,Deer - Doe,9,9/19/2018 20:43
855,D12,4,9/19/2018 7:53,9/19/2018,7:53:29,Deer - Doe,9,9/19/2018 7:53
856,B14,3,9/20/2018 22:07,9/20/2018,22:07:48,Deer - Doe,9,9/20/2018 22:07
857,D14,4,9/20/2018 6:57,9/20/2018,6:57:37,Deer - Doe,9,9/20/2018 6:57
858,D14,4,9/20/2018 12:01,9/20/2018,12:01:40,Deer - Doe,9,9/20/2018 12:01
859,C15,4,9/21/2018 6:23,9/21/2018,6:23:51,Deer - Doe,9,9/21/2018 6:23
860,C15,4,9/21/2018 6:45,9/21/2018,6:45:42,Deer - Doe,9,9/21/2018 6:45
861,B12,4,9/22/2018 19:33,9/22/2018,19:33:11,Deer - Buck,9,9/22/2018 19:33
862,B14,3,9/22/2018 19:57,9/22/2018,19:57:34,Deer - Doe,9,9/22/2018 19:57
863,C15,2,9/22/2018 5:37,9/22/2018,5:37:00,Deer - Buck,9,9/22/2018 5:37
864,D12,2,9/22/2018 18:35,9/22/2018,18:35:28,Deer - Doe,9,9/22/2018 18:35
865,B14,3,9/23/2018 8:57,9/23/2018,8:57:47,Deer - Buck,9,9/23/2018 8:57
866,B14,4,9/23/2018 3:42,9/23/2018,3:42:11,Deer - Buck,9,9/23/2018 3:42
867,B14,3,9/23/2018 8:57,9/23/2018,8:57:46,Deer - Doe,9,9/23/2018 8:57
868,C17,3,9/23/2018 6:33,9/23/2018,6:33:23,Deer - Doe,9,9/23/2018 6:33
869,E13,4,9/23/2018 8:43,9/23/2018,8:43:27,Deer - Doe,9,9/23/2018 8:43
870,B12,4,9/24/2018 20:37,9/24/2018,20:37:53,Deer - Doe,9,9/24/2018 20:37
