,Station,BCI,DateTimeOriginal,Date,Time,Species,Month,TimeStamp
348,B14,3,7/5/2018 21:59,7/5/2018,21:59:31,Deer - Doe,7,7/5/2018 21:59
349,B14,4,7/5/2018 0:42,7/5/2018,0:42:03,Deer - Doe,7,7/5/2018 0:42
350,B14,4,7/5/2018 15:29,7/5/2018,15:29:05,Deer - Doe,7,7/5/2018 15:29
351,B14,4,7/5/2018 21:24,7/5/2018,21:24:12,Deer - Doe,7,7/5/2018 21:24
352,D14,3,7/5/2018 12:32,7/5/2018,12:32:44,Deer - Doe,7,7/5/2018 12:32
353,B14,2,7/6/2018 7:53,7/6/2018,7:53:08,Deer - Buck,7,7/6/2018 7:53
354,B14,3,7/6/2018 7:56,7/6/2018,7:56:01,Deer - Buck,7,7/6/2018 7:56
355,B14,3,7/6/2018 12:43,7/6/2018,12:43:15,Deer - Buck,7,7/6/2018 12:43
356,B14,3,7/6/2018 22:47,7/6/2018,22:47:57,Deer - Buck,7,7/6/2018 22:47
357,B14,4,7/6/2018 22:48,7/6/2018,22:48:00,Deer - Buck,7,7/6/2018 22:48
358,B14,2,7/6/2018 15:46,7/6/2018,15:46:26,Deer - Doe,7,7/6/2018 15:46
359,B14,2,7/6/2018 18:38,7/6/2018,18:38:29,Deer - Doe,7,7/6/2018 18:38
360,B14,3,7/6/2018 0:57,7/6/2018,0:57:27,Deer - Doe,7,7/6/2018 0:57
361,B14,3,7/6/2018 9:00,7/6/2018,9:00:24,Deer - Doe,7,7/6/2018 9:00
362,B14,3,7/6/2018 10:19,7/6/2018,10:19:00,Deer - Doe,7,7/6/2018 10:19
363,B14,3,7/6/2018 12:43,7/6/2018,12:43:15,Deer - Doe,7,7/6/2018 12:43
364,B14,3,7/6/2018 21:49,7/6/2018,21:49:59,Deer - Doe,7,7/6/2018 21:49
365,B14,4,7/6/2018 21:53,7/6/2018,21:53:02,Deer - Doe,7,7/6/2018 21:53
366,A13,4,7/7/2018 5:58,7/7/2018,5:58:17,Deer - Doe,7,7/7/2018 5:58
367,B14,3,7/7/2018 6:05,7/7/2018,6:05:38,Deer - Buck,7,7/7/2018 6:05
368,B14,3,7/7/2018 10:21,7/7/2018,10:21:58,Deer - Buck,7,7/7/2018 10:21
369,B14,3,7/7/2018 17:02,7/7/2018,17:02:29,Deer - Buck,7,7/7/2018 17:02
370,B14,3,7/7/2018 22:49,7/7/2018,22:49:48,Deer - Buck,7,7/7/2018 22:49
371,B14,4,7/7/2018 6:05,7/7/2018,6:05:24,Deer - Buck,7,7/7/2018 6:05
372,B14,4,7/7/2018 6:27,7/7/2018,6:27:19,Deer - Buck,7,7/7/2018 6:27
373,B14,4,7/7/2018 21:24,7/7/2018,21:24:30,Deer - Buck,7,7/7/2018 21:24
374,B14,5,7/7/2018 22:55,7/7/2018,22:55:34,Deer - Buck,7,7/7/2018 22:55
375,B14,2,7/7/2018 15:44,7/7/2018,15:44:24,Deer - Doe,7,7/7/2018 15:44
376,B14,3,7/7/2018 3:09,7/7/2018,3:09:31,Deer - Doe,7,7/7/2018 3:09
377,B14,3,7/7/2018 10:24,7/7/2018,10:24:29,Deer - Doe,7,7/7/2018 10:24
378,B14,3,7/7/2018 12:46,7/7/2018,12:46:14,Deer - Doe,7,7/7/2018 12:46
379,B14,3,7/7/2018 19:16,7/7/2018,19:16:50,Deer - Doe,7,7/7/2018 19:16
380,B14,3,7/7/2018 22:54,7/7/2018,22:54:44,Deer - Doe,7,7/7/2018 22:54
381,B14,4,7/7/2018 3:16,7/7/2018,3:16:36,Deer - Doe,7,7/7/2018 3:16
382,B14,4,7/7/2018 10:21,7/7/2018,10:21:58,Deer - Doe,7,7/7/2018 10:21
383,B14,4,7/7/2018 12:46,7/7/2018,12:46:39,Deer - Doe,7,7/7/2018 12:46
384,B14,4,7/7/2018 16:56,7/7/2018,16:56:54,Deer - Doe,7,7/7/2018 16:56
385,B14,4,7/7/2018 23:14,7/7/2018,23:14:09,Deer - Doe,7,7/7/2018 23:14
386,D14,3,7/7/2018 3:40,7/7/2018,3:40:06,Deer - Doe,7,7/7/2018 3:40
387,D16,5,7/7/2018 23:56,7/7/2018,23:56:08,Deer - Buck,7,7/7/2018 23:56
388,E13,4,7/7/2018 16:25,7/7/2018,16:25:39,Deer - Doe,7,7/7/2018 16:25
389,B14,3,7/8/2018 21:42,7/8/2018,21:42:43,Deer - Buck,7,7/8/2018 21:42
390,B14,4,7/8/2018 21:42,7/8/2018,21:42:47,Deer - Buck,7,7/8/2018 21:42
391,B14,5,7/8/2018 21:38,7/8/2018,21:38:00,Deer - Buck,7,7/8/2018 21:38
392,B14,1,7/8/2018 1:18,7/8/2018,1:18:26,Deer - Doe,7,7/8/2018 1:18
393,B14,1,7/8/2018 10:18,7/8/2018,10:18:10,Deer - Doe,7,7/8/2018 10:18
394,B14,2,7/8/2018 21:36,7/8/2018,21:36:28,Deer - Doe,7,7/8/2018 21:36
395,B14,3,7/8/2018 1:17,7/8/2018,1:17:07,Deer - Doe,7,7/8/2018 1:17
396,B14,3,7/8/2018 21:13,7/8/2018,21:13:32,Deer - Doe,7,7/8/2018 21:13
397,B14,3,7/8/2018 21:41,7/8/2018,21:41:07,Deer - Doe,7,7/8/2018 21:41
398,B14,4,7/8/2018 1:05,7/8/2018,1:05:44,Deer - Doe,7,7/8/2018 1:05
399,B14,4,7/8/2018 10:18,7/8/2018,10:18:01,Deer - Doe,7,7/8/2018 10:18
400,B14,4,7/8/2018 11:57,7/8/2018,11:57:20,Deer - Doe,7,7/8/2018 11:57
401,B14,4,7/8/2018 14:17,7/8/2018,14:17:35,Deer - Doe,7,7/8/2018 14:17
402,B14,4,7/8/2018 16:00,7/8/2018,16:00:06,Deer - Doe,7,7/8/2018 16:00
403,B14,4,7/9/2018 21:27,7/9/2018,21:27:25,Deer - Buck,7,7/9/2018 21:27
404,B14,5,7/9/2018 21:20,7/9/2018,21:20:35,Deer - Buck,7,7/9/2018 21:20
405,B14,1,7/9/2018 0:59,7/9/2018,0:59:20,Deer - Doe,7,7/9/2018 0:59
406,B14,1,7/9/2018 2:11,7/9/2018,2:11:19,Deer - Doe,7,7/9/2018 2:11
407,B14,3,7/9/2018 0:50,7/9/2018,0:50:03,Deer - Doe,7,7/9/2018 0:50
408,B14,3,7/9/2018 10:00,7/9/2018,10:00:23,Deer - Doe,7,7/9/2018 10:00
409,B14,3,7/9/2018 20:33,7/9/2018,20:33:59,Deer - Doe,7,7/9/2018 20:33
410,B14,4,7/9/2018 9:08,7/9/2018,9:08:08,Deer - Doe,7,7/9/2018 9:08
411,B14,4,7/9/2018 9:57,7/9/2018,9:57:09,Deer - Doe,7,7/9/2018 9:57
412,B14,4,7/9/2018 20:41,7/9/2018,20:41:01,Deer - Doe,7,7/9/2018 20:41
413,B14,4,7/9/2018 20:58,7/9/2018,20:58:38,Deer - Doe,7,7/9/2018 20:58
